1	4	1	1,2	8	Baja	
2	6	1	1,2,3	12	Baja	
3	8	1	1,2,3,4	16	Baja	
4	10	1	1,2,3,4,5	20	Baja	
5	2	2	1,2	8	Baja	
6	3	2	1,2,3	12	Baja	
7	4	2	1,2,3,4	16	Baja	
8	5	2	1,2,3,4,5	20	Baja	
9	2	3	1,2,3	12	Baja	
10	6	2	1,2,3,4,5,6	24	Media	
11	7	2	1,2,3,4,5,6,7	28	Media	
12	8	2	1,2,3,4,5,6,7,8	32	Media	
13	9	2	1,2,3,4,5,6,7,8,9	38	Media	
14	10	2	1,2,3,4,5,6,7,8,9,10	40	Media	
15	4	3	1,2,3,4,5,6	24	Media	
16	6	3	1,2,3,4,5,6,7,8,9	36	Media	
17	4	4	1,2,3,4,5,6,7,8	32	Media	
18	5	4	1,2,3,4,5,6,7,8,9,10	40	Media	
19	8	3	1,2,3,4,5,6,7,8,9,10,11,12	48	Dificil	
20	10	3	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	60	Dificil	
21	6	4	1,2,3,4,5,6,7,8,9,10,11,12	48	Dificil	
22	7	4	1,2,3,4,5,6,7,8,9,10,11,12,13,14	56	Dificil	
23	8	4	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16	64	Dificil	
24	5	6	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	60	Dificil	
25	7	4	1,2,3,4,5,6,7,8,9,10,11,12,13,14	56	Dificil	
26	8	4	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16	64	Dificil	
27	5	6	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	60	Dificil	
